Willem Dafoe,141052,Action,Charles Roven,5,Justice League
Harrison Ford,163376,Romance,Martin Manulis,5,Luv
Christopher Walken,8046,Drama,Casey Silver,5,Gigli
Tommy Lee Jones,6470,Action,Bill Badalato,5,Fire Birds
Keanu Reeves,124972,Drama,Alison Palmer Bourke,5,Generation Um...
Jason Bateman,15582,Comedy,Kent Bateman,5,Teen Wolf Too
Christopher Plummer,22049,Fantasy,Patrick Wachsberger,5,Starcrash
Willem Dafoe,86820,Drama,Vincent Maraval,5,4:44 Last Day on Earth
Steve Buscemi,26738,Thriller,Christopher Sheppard,5,Rage
J.K. Simmons,14977,Action,Ash R. Shah,5,Red Sands
Michael Fassbender,109091,Thriller,Ridley Scott,5,The Counselor
Javier Bardem,109091,Thriller,Ridley Scott,5,The Counselor
Adrien Brody,139329,Drama,Han Sanping,5,Back to 1942
Colin Firth,97434,Comedy,Mike Lobell,5,Gambit
Stanley Tucci,97434,Comedy,Mike Lobell,5,Gambit
Jamie Foxx,11597,Fantasy,Barry Levinson,5,Toys
Chris Hemsworth,201088,Crime,Michael Mann,5,Blackhat
Woody Harrelson,1363,Drama,Martin Scorsese,5,The Hi-Lo Country
Viggo Mortensen,25018,Horror,Robert Engelman,5,Leatherface: Texas Chainsaw Massacre III
Clint Eastwood,37917,Western,Clint Eastwood,5,Honkytonk Man
Christopher Walken,161321,Thriller,Leone Marucci,5,The Power of Few
Joseph Gordon-Levitt,2348,Comedy,William Stuart,5,Holy Matrimony
Robert Downey Jr.,28902,Drama,Stephen Woolley,5,In Dreams
Ewan McGregor,9978,Adventure,Steve Christian,5,Stormbreaker
Dwayne Johnson,169209,Action,Randall Emmett,5,Empire State
Brad Pitt,109091,Thriller,Ridley Scott,5,The Counselor
Morgan Freeman,271969,Adventure,Duncan Henderson,5,Ben-Hur
Denzel Washington,41817,Fantasy,Steve Tisch,5,Heart Condition
Bradley Cooper,10759,Comedy,Peter Abrams,5,The Comebacks
Dwayne Johnson,4723,Comedy,Sean McKittrick,5,Southland Tales
Owen Wilson,9360,Adventure,Verna Harrah,5,Anaconda
Viggo Mortensen,11252,Horror,Brian Grazer,5,Psycho
Ralph Fiennes,106599,Documentary,Daniel Anker,5,Imaginary Witness: Hollywood and the Holocaust
William H. Macy,11252,Horror,Brian Grazer,5,Psycho
Matthew McConaughey,8676,Romance,Donald De Line,5,Fool's Gold
Forest Whitaker,64942,Drama,Fernando Sulichin,5,Mary
Tommy Lee Jones,10357,Science Fiction,Neal H. Moritz,5,Volcano
Don Cheadle,10357,Science Fiction,Neal H. Moritz,5,Volcano
Antonio Banderas,106747,Action,Sergei Bespalov,5,Machete Kills
Robert De Niro,77663,Action,Anthony Rhulen,5,Killing Season
Geoffrey Rush,9977,Comedy,Tristram Miall,5,Children of the Revolution
Ryan Reynolds,49524,Fantasy,Michael Fottrell,5,R.I.P.D.
Jeff Bridges,49524,Fantasy,Michael Fottrell,5,R.I.P.D.
Paul Rudd,13160,Comedy,Paul Brooks,5,Over Her Dead Body
Ben Kingsley,106599,Documentary,Daniel Anker,5,Imaginary Witness: Hollywood and the Holocaust
Owen Wilson,209244,Comedy,Jordan Horowitz,5,Are You Here
Paul Rudd,174311,Comedy,Daniel Carey,5,All Is Bright
Mark Ruffalo,10944,Mystery,Laurie Parker,5,In the Cut
Jean Reno,929,Science Fiction,Dean Devlin,5,Godzilla
John Goodman,61225,Drama,John Fusco,5,The Babe
Channing Tatum,74,Adventure,Kathleen Kennedy,6,War of the Worlds
Willem Dafoe,7353,Drama,Sukee Chew,6,Fireflies in the Garden
Chris Evans,9738,Action,Bernd Eichinger,6,Fantastic Four
Antonio Banderas,14979,Action,Les Weldon,6,Thick as Thieves
Tom Hardy,14979,Action,Les Weldon,6,Thick as Thieves
Robert Duvall,26762,Crime,Carter DeHaven,6,The Outfit
Jason Statham,10483,Action,Paul W.S. Anderson,6,Death Race
Tom Cruise,74,Adventure,Kathleen Kennedy,6,War of the Worlds
Bradley Cooper,10186,Comedy,Shawn Levy,6,The Rocker
Anthony Hopkins,9777,Drama,John Hart,6,Proof
Brad Pitt,4944,Comedy,Joel Coen,6,Burn After Reading
Jason Statham,9335,Action,Luc Besson,6,Transporter 2
Ryan Reynolds,7353,Drama,Sukee Chew,6,Fireflies in the Garden
J.K. Simmons,4944,Comedy,Joel Coen,6,Burn After Reading
Paul Rudd,13169,Comedy,Galt Niederhoffer,6,The Baxter
Morgan Freeman,14979,Action,Les Weldon,6,Thick as Thieves
George Clooney,4944,Comedy,Joel Coen,6,Burn After Reading
Leonardo DiCaprio,4832,Documentary,Leonardo DiCaprio,6,The 11th Hour
Chris Evans,13455,Action,Bruce Davey,6,Push
Morgan Freeman,74,Adventure,Kathleen Kennedy,6,War of the Worlds
Viggo Mortensen,13516,Documentary,Michael Moore,6,Slacker Uprising
Colin Farrell,21335,War,Richard Attenborough,6,Oh! What a Lovely War
Russell Crowe,12113,Action,Ridley Scott,6,Body of Lies
Bill Murray,13600,Adventure,Tom Hanks,6,City of Ember
Jim Carrey,10201,Comedy,Richard D. Zanuck,6,Yes Man
Edward Norton,13150,Thriller,Greg O Connor,6,Pride and Glory
Bradley Cooper,10201,Comedy,Richard D. Zanuck,6,Yes Man
Ewan McGregor,1635,Action,Michael Bay,6,The Island
Ian McKellen,24461,Drama,Laurie Borg,6,Asylum
Christopher Plummer,11648,Romance,Jennifer Todd,6,Must Love Dogs
Antonio Banderas,13394,Adventure,Teresa Cheng,6,Shrek the Halls
Steve Buscemi,1635,Action,Michael Bay,6,The Island
Hugh Jackman,6972,Drama,Baz Luhrmann,6,Australia
John Cusack,11648,Romance,Jennifer Todd,6,Must Love Dogs
Colin Farrell,13150,Thriller,Greg O Connor,6,Pride and Glory
Mark Ruffalo,8338,Drama,Niv Fichman,6,Blindness
Daniel Craig,10764,Adventure,Barbara Broccoli,6,Quantum of Solace
Leonardo DiCaprio,12113,Action,Ridley Scott,6,Body of Lies
Matt Damon,4442,Adventure,Charles Roven,6,The Brothers Grimm
James Franco,14326,Drama,Denise Di Novi,6,Nights in Rodanthe
Daniel Craig,13092,Comedy,Robin O Hara,6,How to Lose Friends & Alienate People
Samuel L. Jackson,13279,Drama,John Cameron,6,Lakeview Terrace
Viggo Mortensen,12690,Drama,Ed Harris,6,Appaloosa
Paul Rudd,6957,Comedy,Judd Apatow,6,The 40 Year Old Virgin
Al Pacino,49511,Drama,Robert Salerno,6,Chinese Coffee
Jeremy Irons,12690,Drama,Ed Harris,6,Appaloosa
Joseph Gordon-Levitt,12412,Drama,Spike Lee,6,Miracle at St. Anna
Paul Rudd,15373,Comedy,Scott Stuber,6,Role Models
Steve Carell,6957,Comedy,Judd Apatow,6,The 40 Year Old Virgin
Stanley Tucci,10199,Adventure,Gary Ross,6,The Tale of Despereaux
William H. Macy,10199,Adventure,Gary Ross,6,The Tale of Despereaux
Christopher Walken,9522,Comedy,Peter Abrams,6,Wedding Crashers
Bradley Cooper,9522,Comedy,Peter Abrams,6,Wedding Crashers
Dustin Hoffman,10199,Adventure,Gary Ross,6,The Tale of Despereaux
Owen Wilson,9522,Comedy,Peter Abrams,6,Wedding Crashers
Dustin Hoffman,16409,Drama,Tim Perell,6,Last Chance Harvey
Will Ferrell,9522,Comedy,Peter Abrams,6,Wedding Crashers
